RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
831,DC-9-31,DC-9-31,1971-03-08,,,"Speed: 786.2450112 kmh, 488.55 mph, 424.54 kts "
832,MD-11F,MD-11F,1998-09-25,,,"Speed: 870.28 kmh, 540.77 mph, 469.91 kts "
833,DC-10-30,DC-10-30,1991-07-06,,,"Speed: 886.14 kmh, 550.62 mph, 478.48 kts "
834,747-100,747-100,1997-01-05,,,"Speed: 942.87 kmh, 585.87 mph, 509.11 kts "
835,767-300ER,767-300ER,1999-09-17,,,"Speed: 653.25 kmh, 405.91 mph, 352.73 kts "
836,777-200,777-200,2001-08-05,,,"Speed: 911.17 kmh, 566.17 mph, 491.99 kts "
837,DC-9-31,DC-9-31,1978-03-07,,,"Speed: 851.48781696 kmh, 529.09 mph, 459.77 kts "
838,DC-9-51,DC-9-51,1978-04-24,,,"Speed: 655.6467456 kmh, 407.4 mph, 354.02 kts "
839,DC-8-72,DC-8-72,1983-03-30,,,"Speed: 775.95 kmh, 482.15 mph, 418.98 kts "
840,Concorde,,1985-03-29,,,"Speed: 1192.48 kmh, 740.97 mph, 643.89 kts "
841,Concorde,,1991-09-24,,,"Speed: 1833.78 kmh, 1139.46 mph, 990.16 kts "
842,Concorde,,1982-03-20,,,"Speed: 1869.9 kmh, 1161.9 mph, 1009.67 kts "
843,727-200,727-200,2001-10-30,,,"Speed: 555.91569792 kmh, 345.43 mph, 300.17 kts "
844,DC-8,DC-8,1990-12-07,,,"Speed: 714.91 kmh, 444.22 mph, 386.02 kts "
845,737-200,737-200,1990-06-29,,,"Speed: 789.39 kmh, 490.5 mph, 426.24 kts "
846,767-200,767-200,1993-01-09,,,"Speed: 1033.09 kmh, 641.93 mph, 557.82 kts "
847,A330-300,A330-300,2002-06-15,,,"Speed: 939.86 kmh, 584 mph, 507.48 kts "
848,727-200A,727-200,1990-10-17,,,"Speed: 913.89 kmh, 567.86 mph, 493.46 kts "
849,DC-8,DC-8,1990-12-07,,,"Speed: 712.06 kmh, 442.45 mph, 384.48 kts "
850,DC-10-30F,DC-10-30F,1999-02-22,,,"Speed: 835.66 kmh, 519.26 mph, 451.22 kts "
851,Constellation,,1947-08-05,,,"Speed: 526.142 kmh, 326.93 mph, 284.09 kts "
852,727,727,1999-02-27,,,"Speed: 831.69 kmh, 516.79 mph, 449.08 kts "
853,767-200ER,767-200ER,1993-08-31,,,"Speed: 846.37 kmh, 525.91 mph, 457 kts "
854,737-500,737-500,1997-04-05,,,"Speed: 838.93 kmh, 521.29 mph, 452.99 kts "
855,990,1990,1965-02-16,,,"Speed: 1114.11666432 kmh, 692.28 mph, 601.57 kts "
856,DC-10-30,DC-10-30,1991-09-21,,,"Speed: 940.24 kmh, 584.24 mph, 507.69 kts "
857,737-300,737-300,1993-02-20,,,"Speed: 838.74 kmh, 521.17 mph, 452.88 kts "
858,737-300,737-300,1993-03-14,,,"Speed: 792 kmh, 492.13 mph, 427.65 kts "
859,MD-11,MD-11,1997-09-16,,,"Speed: 790.43 kmh, 491.15 mph, 426.8 kts "
860,737-200,737-200,1996-06-23,,,"Speed: 681.52499712 kmh, 423.48 mph, 367.99 kts "
861,747-400,747-400,2002-06-24,,,"Speed: 806.97 kmh, 501.43 mph, 435.73 kts "
862,767-200ER,767-200ER,1994-08-25,,,"Speed: 895.11 kmh, 556.2 mph, 483.32 kts "
863,MD-82,MD-2,1998-10-13,,,"Speed: 784.61 kmh, 487.53 mph, 423.66 kts "
864,727,727,1965-04-20,,,"Speed: 883.2884544 kmh, 548.85 mph, 476.94 kts "
865,DC-10-30,DC-10-30,1988-01-02,,,"Speed: 992.16 kmh, 616.5 mph, 535.72 kts "
866,727,727,1994-04-30,,,"Speed: 834.52 kmh, 518.55 mph, 450.6 kts "
867,757,77,1994-11-19,,,"Speed: 840.24 kmh, 522.1 mph, 453.69 kts "
868,A319,A319,1999-03-31,,,"Speed: 847.4 kmh, 526.55 mph, 457.56 kts "
869,727-100,727-100,1987-03-01,,,"Speed: 737.28 kmh, 458.12 mph, 398.1 kts "
870,747-400,747-400,2001-10-15,,,"Speed: 878.77 kmh, 546.04 mph, 474.5 kts "
871,DC-10-30,DC-10-30,1988-07-30,,,"Speed: 888.48 kmh, 552.08 mph, 479.74 kts "
872,707,70,1965-04-09,,,"Speed: 796.51262592 kmh, 494.93 mph, 430.08 kts "
873,MD-11,MD-11,1998-04-02,,,"Speed: 919.43 kmh, 571.31 mph, 496.45 kts "
874,DC-10-10,DC-10-10,1994-10-20,,,"Speed: 853.42 kmh, 530.29 mph, 460.81 kts "
875,737-300,737-300,1993-03-08,,,"Speed: 769.14 kmh, 477.92 mph, 415.3 kts "
876,767-300ER,767-300ER,2002-07-29,,,"Speed: 887.69 kmh, 551.59 mph, 479.31 kts "
877,707-123,707-123,1962-12-12,,,"Speed: 882.99877248 kmh, 548.67 mph, 476.78 kts "
878,880,880,1962-01-03,,,"Speed: 944.86195584 kmh, 587.11 mph, 510.18 kts "
879,727,727,1998-10-24,,,"Speed: 618.94 kmh, 384.59 mph, 334.2 kts "
880,MD-82,MD-2,1998-10-18,,,"Speed: 818.5 kmh, 508.59 mph, 441.95 kts "
881,767-300,767-300,1993-11-12,,,"Speed: 935.98 kmh, 581.59 mph, 505.39 kts "
882,737-300,737-300,1992-11-19,,,"Speed: 805.94 kmh, 500.79 mph, 435.17 kts "
883,727,727,1965-10-28,,,"Speed: 1036.99689984 kmh, 644.36 mph, 559.93 kts "
884,707-720B,707-320B,1963-01-15,,,"Speed: 1009.83117312 kmh, 627.48 mph, 545.27 kts "
885,737-300,737-300,1992-10-06,,,"Speed: 801.44 kmh, 497.99 mph, 432.74 kts "
886,767-300,767-300,1995-03-02,,,"Speed: 1017.52 kmh, 632.26 mph, 549.42 kts "
887,737-300,737-300,1993-03-15,,,"Speed: 870.41 kmh, 540.85 mph, 469.98 kts "
888,720,720,1963-02-12,,,"Speed: 919.27338624 kmh, 571.21 mph, 496.37 kts "
889,757-200,757-200CB,1997-04-02,,,"Speed: 821.06 kmh, 510.18 mph, 443.34 kts "
890,MD-82,MD-2,1997-12-12,,,"Speed: 789.27 kmh, 490.43 mph, 426.17 kts "
891,737-200,737-200,1979-12-26,,,"Speed: 879.1846272 kmh, 546.3 mph, 474.72 kts "
892,727,727,1965-01-29,,,"Speed: 968.3422848 kmh, 601.7 mph, 522.86 kts "
893,767-300ER,767-300ER,2001-02-17,,,"Speed: 942.18 kmh, 585.44 mph, 508.74 kts "
894,A319,A319,2002-11-28,,,"Speed: 867.5 kmh, 539.04 mph, 468.41 kts "
895,767-300ER,767-300ER,2003-05-11,,,"Speed: 898.21 kmh, 558.12 mph, 484.99 kts "
896,A320,320,2001-06-27,,,"Speed: 789.07 kmh, 490.31 mph, 426.06 kts "
897,747-400,747-400,1993-11-19,,,"Speed: 726.49 kmh, 451.42 mph, 392.27 kts "
898,767-200ER,767-200ER,1993-04-27,,,"Speed: 882.68 kmh, 548.47 mph, 476.61 kts "
899,747-400,747-400,1998-09-14,,,"Speed: 802.18 kmh, 498.45 mph, 433.14 kts "
900,757,77,1994-09-18,,,"Speed: 851.14 kmh, 528.87 mph, 459.58 kts "
901,747,77,1997-09-28,,,"Speed: 863.46 kmh, 536.53 mph, 466.23 kts "
902,MD-83,MD-80,2000-02-11,,,"Speed: 778.1 kmh, 483.49 mph, 420.14 kts "
903,990,1990,1963-02-07,,,"Speed: 938.9717568 kmh, 583.45 mph, 507 kts "
904,777,777F,2000-01-08,,,"Speed: 798.89445504 kmh, 496.41 mph, 431.37 kts "
905,L.188 Electra,,1965-12-19,,,"Speed: 821.69885952 kmh, 510.58 mph, 443.68 kts "
906,767-300ER,767-300ER,2001-07-16,,,"Speed: 959.28 kmh, 596.07 mph, 517.97 kts "
907,Concorde,,1989-04-05,,,"Speed: 1516.32 kmh, 942.2 mph, 818.75 kts "
908,757-200,757-200CB,1994-11-29,,,"Speed: 916.78 kmh, 569.66 mph, 495.02 kts "
909,767-300ER,767-300ER,1999-06-19,,,"Speed: 997.48 kmh, 619.81 mph, 538.6 kts "
910,727,727,1965-12-19,,,"Speed: 1048.11746688 kmh, 651.27 mph, 565.94 kts "
911,MD-88,MD-88,1997-12-28,,,"Speed: 733.25 kmh, 455.62 mph, 395.92 kts "
912,707-720,707-370C,1965-09-28,,,"Speed: 928.591488 kmh, 577 mph, 501.4 kts "
913,727,727,1965-04-05,,,"Speed: 707.33887488 kmh, 439.52 mph, 381.93 kts "
914,727,727,1965-10-28,,,"Speed: 964.801728 kmh, 599.5 mph, 520.95 kts "
915,Viscount,,1953-01-22,,,"Speed: 422.78 kmh, 262.7 mph, 228.28 kts "
916,747-200B,747-200B,2002-12-18,,,"Speed: 880.78 kmh, 547.29 mph, 475.58 kts "
917,DC-8-73F,DC-8-73F,1988-03-28,,,"Speed: 871.92 kmh, 541.79 mph, 470.8 kts "
918,MD-11F,MD-11F,1998-08-26,,,"Speed: 754.45 kmh, 468.79 mph, 407.37 kts "
919,DC-9-31,DC-9-31,1976-12-30,,,"Speed: 735.69551616 kmh, 457.14 mph, 397.24 kts "
920,Concorde,,1982-03-29,,,"Speed: 1700.82 kmh, 1056.84 mph, 918.37 kts "
