RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
6340,36,36,1984-07-24,,,"Speed: 847.8 kmh, 526.8 mph, 457.78 kts "
6341,Baron,,1988-12-21,,,"Speed: 338.4 kmh, 210.27 mph, 182.72 kts "
6342,Baron,,1988-12-21,,,"Speed: 335.52 kmh, 208.48 mph, 181.17 kts "
6343,V,V,2002-11-06,,,"Speed: 778.69 kmh, 483.86 mph, 420.46 kts "
6344,Bonanza F33A,,1984-02-21,,,"Speed: 182.93 kmh, 113.67 mph, 98.77 kts "
6345,Bonanza F33A,,1984-02-28,,,"Speed: 328.34 kmh, 204.02 mph, 177.29 kts "
6346,Bonanza F33A,,1984-02-21,,,"Speed: 312.83 kmh, 194.38 mph, 168.91 kts "
6347,Bonanza A36,,1989-06-16,,,"Speed: 231.84 kmh, 144.06 mph, 125.18 kts "
6348,Bonanza S35,,1989-06-16,,,"Speed: 231.84 kmh, 144.06 mph, 125.18 kts "
6349,Jetstar,,1962-04-22,,,"Speed: 603.69 kmh, 375.12 mph, 325.97 kts "
6350,Jetstar,,1962-04-22,,,"Speed: 752.01 kmh, 467.28 mph, 406.05 kts "
6351,Jetstar,,1962-04-22,,,"Speed: 776.34 kmh, 482.4 mph, 419.19 kts "
6352,Jetstar,,1962-04-22,,,"Speed: 603.69 kmh, 375.12 mph, 325.97 kts "
6353,1125 Astra SPX,,2001-08-31,,,"Speed: 835.74 kmh, 519.3 mph, 451.26 kts "
6354,Jetstar,,1962-04-22,,,"Speed: 748.53 kmh, 465.11 mph, 404.17 kts "
6355,Jetstar,,1962-04-22,,,"Speed: 607.75 kmh, 377.64 mph, 328.16 kts "
6356,1125 Astra SPX,,2001-09-02,,,"Speed: 794.16 kmh, 493.47 mph, 428.81 kts "
6357,Jetstar,,1962-04-22,,,"Speed: 614.12 kmh, 381.6 mph, 331.6 kts "
6358,Lance ,,1987-12-18,,,"Speed: 272.52 kmh, 169.34 mph, 147.15 kts "
6359,Jetstar,,1962-04-22,,,"Speed: 746.22 kmh, 463.68 mph, 402.93 kts "
6360,FW-200 Condor,,1938-08-13,,,"Speed: 320.91 kmh, 199.4 mph, 173.28 kts "
6361,Concorde,,1985-09-09,,,"Speed: 1697.15 kmh, 1054.56 mph, 916.39 kts "
6362,Jetstar,,1962-04-22,,,"Speed: 570.09 kmh, 354.24 mph, 307.82 kts "
6363,III,III,1982-01-08,,III (Jet),"Speed: 828 kmh, 514.5 mph, 447.08 kts "
6364,45,45,1999-06-05,,,"Speed: 793.08 kmh, 492.8 mph, 428.23 kts "
6365,V,V,1999-11-13,,,"Speed: 853.36 kmh, 530.25 mph, 460.78 kts "
6366,Concorde,,1987-07-13,,,"Speed: 1729.38 kmh, 1074.59 mph, 933.79 kts "
6367,282-40 Sabreliner,,1963-10-25,,,"Speed: 840.01 kmh, 521.96 mph, 453.57 kts "
6368,Metroliner III,,1991-05-30,,,"Speed: 405.37 kmh, 251.89 mph, 218.88 kts "
6369,747-400,747-400,1998-07-05,,,"Speed: 830.96 kmh, 516.33 mph, 448.68 kts "
6370,DC-10-30 AP-AX,,1974-10-21,,,"Speed: 895.38 kmh, 556.36 mph, 483.47 kts "
6371,SR-71 Blackbird,,1974-09-01,,,"Speed: 2908.03 kmh, 1806.97 mph, 1570.21 kts "
6372,B-58 Hustler ,,1962-03-05,,,"Speed: 1741 kmh, 1081.81 mph, 940.06 kts "
6373,VC-137,VC-1,1963-05-19,,,"Speed: 907.86 kmh, 564.12 mph, 490.21 kts "
6374,VC-137,VC-1,1963-05-19,,,"Speed: 954.56 kmh, 593.14 mph, 515.42 kts "
6375,B-58 Hustler ,,1961-05-26,,,"Speed: 1753.06 kmh, 1089.3 mph, 946.58 kts "
6376,Jetstar,,1962-04-22,,,"Speed: 575.3 kmh, 357.47 mph, 310.64 kts "
6377,VC-137,VC-1,1963-05-19,,,"Speed: 946.79 kmh, 588.31 mph, 511.23 kts "
6378,Concorde,,1999-10-23,,,"Speed: 1004.67 kmh, 624.27 mph, 542.48 kts "
6379,III,III,1984-07-02,,,"Speed: 888.12 kmh, 551.85 mph, 479.55 kts "
6380,Challenger 601,,1984-07-22,,,"Speed: 618.56 kmh, 384.36 mph, 334 kts "
6381,Challenger 601,,1984-07-22,,,"Speed: 714.24 kmh, 443.81 mph, 385.66 kts "
6382,Challenger 601,,1984-07-22,,,"Speed: 710.28 kmh, 441.35 mph, 383.52 kts "
6383,Bonanza A36,,1989-06-24,,,"Speed: 255.6 kmh, 158.82 mph, 138.01 kts "
6384,Bonanza S35,,1989-06-24,,,"Speed: 255.6 kmh, 158.82 mph, 138.01 kts "
6385,IV,IV,1987-06-13,,,"Speed: 830 kmh, 515.74 mph, 448.16 kts "
6386,310,310,1992-06-30,,,"Speed: 318.12 kmh, 197.67 mph, 171.77 kts "
6387,201,201,1987-08-30,,,"Speed: 241.11 kmh, 149.82 mph, 130.19 kts "
6388,III,III,1983-11-18,,,"Speed: 723.24 kmh, 449.4 mph, 390.52 kts "
6389,DC-8,DC-8,1973-06-25,,,"Speed: 879.49 kmh, 546.49 mph, 474.89 kts "
6390,747SP,,1977-10-30,,III (Jet),"Speed: 732.77 kmh, 455.32 mph, 395.66 kts "
6391,Navajo,,1971-11-22,,I (Internal Combustion),"Speed: 59.71 kmh, 37.1 mph, 32.24 kts "
6392,737-400,737-400,1992-07-24,,,"Speed: 677.08 kmh, 420.72 mph, 365.59 kts "
6393,III,III,1984-02-14,,,"Speed: 844.98 kmh, 525.05 mph, 456.25 kts "
6394,III,III,1984-02-15,,,"Speed: 880.24 kmh, 546.96 mph, 475.29 kts "
6395,Metroliner III,,1991-06-03,,,"Speed: 370.82 kmh, 230.42 mph, 200.23 kts "
6396,III,III,1984-02-14,,,"Speed: 815.11 kmh, 506.49 mph, 440.12 kts "
6397,252,25,1988-01-14,,,"Speed: 466.2 kmh, 289.68 mph, 251.73 kts "
6398,310,310,1992-06-23,,,"Speed: 348.7 kmh, 216.67 mph, 188.28 kts "
6399,Bonanza F33A,,1984-02-20,,,"Speed: 238.39 kmh, 148.13 mph, 128.72 kts "
6400,Bonanza F33A,,1984-02-20,,,"Speed: 277.88 kmh, 172.67 mph, 150.04 kts "
6401,Bonanza F33A,,1984-02-20,,,"Speed: 136.69 kmh, 84.94 mph, 73.81 kts "
6402,Bonanza F33A,,1984-02-21,,,"Speed: 181.46 kmh, 112.75 mph, 97.98 kts "
6403,Bonanza F33A,,1984-02-21,,,"Speed: 262.63 kmh, 163.19 mph, 141.81 kts "
6404,Bonanza F33A,,1984-02-21,,,"Speed: 267.49 kmh, 166.21 mph, 144.43 kts "
6405,DA-10,A-10,1996-08-08,,,"Speed: 988.5 kmh, 614.23 mph, 533.75 kts "
6406,Lance,,1987-08-03,,,"Speed: 335.52 kmh, 208.48 mph, 181.17 kts "
6407,VC-137,VC-1,1963-05-21,,,"Speed: 807.71 kmh, 501.89 mph, 436.13 kts "
6408,VC-137,VC-1,1963-05-21,,,"Speed: 818.01 kmh, 508.29 mph, 441.69 kts "
6409,VC-137,VC-1,1963-05-21,,,"Speed: 813.71 kmh, 505.62 mph, 439.37 kts "
6410,VC-137,VC-1,1963-05-21,,,"Speed: 811.4 kmh, 504.18 mph, 438.12 kts "
6411,VC-137,VC-1,1963-05-21,,,"Speed: 802.75 kmh, 498.81 mph, 433.45 kts "
6412,172,172,2000-08-10,,,"Speed: 73.17 kmh, 45.47 mph, 39.51 kts "
6413,RV-6,RV-6,1999-06-04,,,"Speed: 190.13 kmh, 118.14 mph, 102.66 kts "
6414,RV-6,RV-6,1999-06-04,,,"Speed: 198.58 kmh, 123.39 mph, 107.22 kts "
6415,Canberra Aeries IV,,1955-06-27,,,"Speed: 799.56 kmh, 496.82 mph, 431.73 kts "
6416,140,140,1995-09-21,,,"Speed: 43.67 kmh, 27.14 mph, 23.58 kts "
6417,RV-6,RV-6,1999-06-04,,,"Speed: 253.89 kmh, 157.76 mph, 137.09 kts "
6418,Pelican GS,,1996-06-26,,,"Speed: 146.39 kmh, 90.96 mph, 79.04 kts "
6419,III,III,1983-01-15,,,"Speed: 749.88 kmh, 465.95 mph, 404.9 kts "
6420,208 Caravan,,1996-05-04,,,"Speed: 213.71 kmh, 132.79 mph, 115.39 kts "
6421,V,V,1998-01-11,,,"Speed: 949.79 kmh, 590.17 mph, 512.85 kts "
6422,Bonanza F33A,,1984-02-27,,,"Speed: 368.02 kmh, 228.68 mph, 198.71 kts "
6423,Bonanza F33A,,1984-02-27,,,"Speed: 335.09 kmh, 208.22 mph, 180.93 kts "
6424,Bonanza F33A,,1984-02-27,,,"Speed: 269.75 kmh, 167.61 mph, 145.65 kts "
6425,IV,IV,2003-07-07,,,"Speed: 746.09 kmh, 463.6 mph, 402.86 kts "
6426,IV,IV,2003-07-08,,,"Speed: 715.3 kmh, 444.47 mph, 386.23 kts "
6427,C.635 Simoun,,1935-12-18,,,"Speed: 151.9 kmh, 94.39 mph, 82.02 kts "
6428,Jetstar,,1962-04-22,,,"Speed: 926.98 kmh, 576 mph, 500.53 kts "
6429,IV,IV,1987-06-14,,,"Speed: 794.12 kmh, 493.44 mph, 428.79 kts "
6430,IV,IV,1987-06-12,,,"Speed: 836 kmh, 519.47 mph, 451.4 kts "
6431,282-40 Sabreliner,,1963-10-27,,,"Speed: 804.61 kmh, 499.96 mph, 434.45 kts "
6432,III,III,1982-01-08,,III (Jet),"Speed: 612 kmh, 380.28 mph, 330.45 kts "
6433,Cardinal,,1978-10-07,,,"Speed: 215.67 kmh, 134.01 mph, 116.45 kts "
6434,Simon,,1936-11-15,,,"Speed: 180.2 kmh, 111.97 mph, 97.3 kts "
6435,Concorde,,1992-10-11,,,"Speed: 1172.29 kmh, 728.43 mph, 632.99 kts "
6436,Swift MK IV WK 198,,1963-07-05,,,"Speed: 1069.29 kmh, 664.43 mph, 577.37 kts "
6437,IV,IV,1987-06-13,,,"Speed: 804.14 kmh, 499.67 mph, 434.2 kts "
6438,IV,IV,1987-06-13,,,"Speed: 819.68 kmh, 509.33 mph, 442.59 kts "
6439,Mystere IV N Avon,,1955-06-18,,,"Speed: 982.43 kmh, 610.45 mph, 530.47 kts "
6440,IV,IV,1987-06-13,,,"Speed: 820.41 kmh, 509.78 mph, 442.99 kts "
6441,35A,35A,1985-06-04,,III (Jet),"Speed: 749.52 kmh, 465.73 mph, 404.71 kts "
6442,Bonanza,,1989-07-03,,I (Internal Combustion),"Speed: 264.25 kmh, 164.2 mph, 142.68 kts "
6443,C-635,C-635,1937-12-23,,,"Speed: 109.3 kmh, 67.92 mph, 59.02 kts "
6444,V,V,1997-06-22,,,"Speed: 818.97 kmh, 508.88 mph, 442.21 kts "
6445,36,36,1976-05-18,,,"Speed: 745.27 kmh, 463.09 mph, 402.41 kts "
6446,11A,11A,1989-07-02,,,"Speed: 230.4 kmh, 143.16 mph, 124.41 kts "
6447,750 Citation X,,2001-07-28,,,"Speed: 1134.69 kmh, 705.06 mph, 612.68 kts "
6448,750 Citation X,,2001-07-30,,,"Speed: 1194.17 kmh, 742.02 mph, 644.8 kts "
6449,Bonanza F33A,,1984-02-27,,,"Speed: 305.25 kmh, 189.67 mph, 164.82 kts "
6450,Bonanza F33A,,1984-02-27,,,"Speed: 321.6 kmh, 199.83 mph, 173.65 kts "
6451,Bonanza F33A,,1984-02-27,,,"Speed: 291.22 kmh, 180.96 mph, 157.25 kts "
6452,Bonanza F33A,,1984-02-27,,,"Speed: 326.44 kmh, 202.84 mph, 176.26 kts "
6453,Bonanza F33A,,1984-02-27,,,"Speed: 271.72 kmh, 168.84 mph, 146.72 kts "
6454,ATR-42,ATR-42,1989-04-22,,,"Speed: 442.8 kmh, 275.14 mph, 239.09 kts "
6455,ATR-42,ATR-42,1989-04-22,,,"Speed: 532.44 kmh, 330.84 mph, 287.49 kts "
6456,VC-137,VC-1,1963-05-19,,,"Speed: 907.62 kmh, 563.97 mph, 490.08 kts "
6457,VC-137,VC-1,1963-05-19,,,"Speed: 953.8 kmh, 592.66 mph, 515.01 kts "
6458,VC-137,VC-1,1963-05-19,,,"Speed: 946.1 kmh, 587.88 mph, 510.85 kts "
6459,Bonanza F33A,,1984-02-23,,,"Speed: 232.75 kmh, 144.62 mph, 125.67 kts "
6460,Bonanza F33A,,1984-03-01,,,"Speed: 392.44 kmh, 243.85 mph, 211.9 kts "
6461,Bonanza F33A,,1984-02-20,,,"Speed: 55.7 kmh, 34.61 mph, 30.08 kts "
6462,Bonanza F33A,,1984-02-21,,,"Speed: 190.91 kmh, 118.63 mph, 103.08 kts "
6463,Bonanza F33A,,1984-03-01,,,"Speed: 223.22 kmh, 138.7 mph, 120.53 kts "
6464,Bonanza F33A,,1984-02-21,,,"Speed: 248.56 kmh, 154.45 mph, 134.21 kts "
6465,Bonanza F33A,,1984-02-21,,,"Speed: 228.56 kmh, 142.02 mph, 123.41 kts "
6466,Bonanza A36,,1989-05-29,,,"Speed: 348.12 kmh, 216.31 mph, 187.97 kts "
6467,Bonanza S35,,1989-05-29,,,"Speed: 348.12 kmh, 216.31 mph, 187.97 kts "
6468,Bonanza A36,,1989-06-13,,,"Speed: 282.6 kmh, 175.6 mph, 152.59 kts "
6469,Bonanza S35,,1989-06-13,,,"Speed: 282.6 kmh, 175.6 mph, 152.59 kts "
6470,60,60,1997-06-12,,,"Speed: 852.11 kmh, 529.48 mph, 460.1 kts "
6471,60,60,1997-06-12,,,"Speed: 782.48 kmh, 486.21 mph, 422.51 kts "
6472,201,201,1987-08-30,,,"Speed: 235.22 kmh, 146.16 mph, 127.01 kts "
6473,Bonanza,,1989-06-22,,,"Speed: 277.56 kmh, 172.47 mph, 149.87 kts "
6474,201,201,1987-08-30,,,"Speed: 224.57 kmh, 139.54 mph, 121.26 kts "
6475,Bonanza F33A,,1984-02-28,,,"Speed: 277.74 kmh, 172.58 mph, 149.97 kts "
6476,Bonanza F33A,,1984-02-23,,,"Speed: 232.75 kmh, 144.62 mph, 125.67 kts "
6477,Bonanza F33A,,1984-02-23,,,"Speed: 254.49 kmh, 158.13 mph, 137.41 kts "
6478,Bonanza F33A,,1984-02-28,,,"Speed: 312.78 kmh, 194.35 mph, 168.89 kts "
6479,Bonanza F33A,,1984-02-28,,,"Speed: 294.5 kmh, 182.99 mph, 159.02 kts "
6480,Bonanza F33A,,1984-02-23,,,"Speed: 303.7 kmh, 188.71 mph, 163.98 kts "
6481,Bonanza F33A,,1984-02-28,,,"Speed: 268.2 kmh, 166.65 mph, 144.82 kts "
6482,Bonanza F33A,,1984-02-28,,,"Speed: 286.22 kmh, 177.85 mph, 154.55 kts "
6483,Bonanza F33A,,1984-02-23,,,"Speed: 343.1 kmh, 213.19 mph, 185.26 kts "
6484,Bonanza F33A,,1984-02-28,,,"Speed: 292.35 kmh, 181.66 mph, 157.86 kts "
6485,737-400,737-400,1992-07-21,,,"Speed: 686.35 kmh, 426.48 mph, 370.6 kts "
6486,VC10 C,,1987-12-21,,,"Speed: 912.03 kmh, 566.71 mph, 492.46 kts "
6487,Hercules,,1984-12-01,,,"Speed: 571.14 kmh, 354.89 mph, 308.39 kts "
6488,,,1986-12-03,,,"Speed: 795.6 kmh, 494.36 mph, 429.59 kts "
6489,PA-60-602P Aerostar,,1992-05-23,,,"Speed: 455.47 kmh, 283.02 mph, 245.93 kts "
6490,,,1986-12-04,,III (Jet),"Speed: 702.36 kmh, 436.43 mph, 379.24 kts "
6491,PA-60-602P Aerostar,,1992-05-24,,I (Internal Combustion),"Speed: 440.82 kmh, 273.91 mph, 238.02 kts "
6492,Bonanza F33A,,1984-02-28,,,"Speed: 219.1 kmh, 136.14 mph, 118.3 kts "
6493,Bonanza F33A,,1984-02-28,,,"Speed: 238.07 kmh, 147.93 mph, 128.55 kts "
6494,Bonanza F33A,,1984-02-28,,,"Speed: 210.73 kmh, 130.94 mph, 113.79 kts "
6495,Bonanza F33A,,1984-02-28,,,"Speed: 239.98 kmh, 149.12 mph, 129.58 kts "
6496,Bonanza F33A,,1984-02-28,,,"Speed: 239.26 kmh, 148.67 mph, 129.19 kts "
6497,Bonanza F33A,,1984-02-28,,,"Speed: 210.67 kmh, 130.9 mph, 113.75 kts "
6498,Bonanza F33A,,1984-02-28,,,"Speed: 238.45 kmh, 148.17 mph, 128.75 kts "
6499,Bonanza F33A,,1984-02-28,,,"Speed: 167.26 kmh, 103.93 mph, 90.31 kts "
6500,Bonanza F33A,,1984-02-28,,,"Speed: 216.29 kmh, 134.4 mph, 116.79 kts "
6501,Baron,,1988-12-20,,,"Speed: 397.08 kmh, 246.73 mph, 214.41 kts "
6502,Baron,,1988-12-21,,,"Speed: 266.76 kmh, 165.76 mph, 144.04 kts "
6503,Bonanza F33A,,1984-02-03,,,"Speed: 282.96 kmh, 175.82 mph, 152.79 kts "
6504,III,III,1983-01-16,,,"Speed: 851.18 kmh, 528.9 mph, 459.6 kts "
6505,Pelican GS,,1996-06-26,,,"Speed: 151.02 kmh, 93.84 mph, 81.54 kts "
6506,RV-6,RV-6,1998-08-22,,,"Speed: 281.78 kmh, 175.09 mph, 152.15 kts "
6507,III,III,1983-11-17,,,"Speed: 857.67 kmh, 532.93 mph, 463.1 kts "
6508,III,III,1983-11-18,,,"Speed: 728.28 kmh, 452.53 mph, 393.24 kts "
6509,IV P,IV P,2001-07-20,,,"Speed: 502.02 kmh, 311.94 mph, 271.07 kts "
6510,Lance,,1987-10-04,,,"Speed: 352.44 kmh, 219 mph, 190.3 kts "
6511,Aerostar,,1989-05-22,,,"Speed: 444.24 kmh, 276.04 mph, 239.87 kts "
6512,Bonanza,,1989-07-18,,,"Speed: 224.29 kmh, 139.37 mph, 121.11 kts "
6513,35A,35A,1985-06-05,,,"Speed: 678.6 kmh, 421.66 mph, 366.41 kts "
6514,208 Caravan,,1996-05-14,,,"Speed: 281.27 kmh, 174.77 mph, 151.87 kts "
6515,310,310,1992-07-20,,,"Speed: 312.05 kmh, 193.9 mph, 168.49 kts "
6516,DH.90 Dragonfly,,1964-08-05,,,"Speed: 54.43 kmh, 33.82 mph, 29.39 kts "
6517,310,310,1992-07-22,,,"Speed: 157.93 kmh, 98.13 mph, 85.28 kts "
6518,310,310,1992-06-16,,,"Speed: 274.82 kmh, 170.77 mph, 148.39 kts "
6519,421B,421B,1997-09-11,,,"Speed: 363.78 kmh, 226.04 mph, 196.43 kts "
6520,DC-10-30,DC-10-30,1978-01-23,,,"Speed: 895.56 kmh, 556.48 mph, 483.56 kts "
6521,DC-10,DC-1,1972-10-14,,,"Speed: 854.44 kmh, 530.92 mph, 461.36 kts "
6522,Bonanza F33A,,1984-02-20,,,"Speed: 309.95 kmh, 192.59 mph, 167.36 kts "
6523,20L,L 20,1956-10-25,,,"Speed: 390.97 kmh, 242.94 mph, 211.11 kts "
6524,III,III,1982-01-08,,III (Jet),"Speed: 900.04 kmh, 559.26 mph, 485.98 kts "
6525,208 Caravan,,1996-04-28,,II (Turboprop),"Speed: 267.8 kmh, 166.4 mph, 144.6 kts "
6526,Hunter T.7,,1956-10-25,,,"Speed: 859.29 kmh, 533.94 mph, 463.98 kts "
6527,Savoia-79 I-BISE,,1938-01-24,,,"Speed: 221.96 kmh, 137.92 mph, 119.85 kts "
6528,421B,421B,1997-09-16,,,"Speed: 384.54 kmh, 238.94 mph, 207.63 kts "
6529,Comanche,,1988-12-16,,,"Speed: 329.76 kmh, 204.9 mph, 178.06 kts "
6530,PA-18-150,PA-18-150,1991-06-25,,,"Speed: 150.59 kmh, 93.57 mph, 81.31 kts "
6531,Bonanza A36,,1989-06-05,,,"Speed: 308.52 kmh, 191.71 mph, 166.59 kts "
6532,Bonanza S35,,1989-06-05,,,"Speed: 308.52 kmh, 191.71 mph, 166.59 kts "
6533,Metroliner III,,1991-06-07,,,"Speed: 395.18 kmh, 245.55 mph, 213.38 kts "
6534,Bonanza F33A,,1984-03-01,,,"Speed: 304.12 kmh, 188.97 mph, 164.21 kts "
6535,Bonanza F33A,,1984-03-01,,,"Speed: 311.29 kmh, 193.43 mph, 168.08 kts "
6536,750 Citation X,,2003-02-05,,III (Jet),"Speed: 1169.71 kmh, 726.82 mph, 631.59 kts "
6537,P.180 Avanti,,2003-02-06,,II (Turboprop),"Speed: 880.01 kmh, 546.81 mph, 475.17 kts "
6538,TBM 700,TBM 700,1992-09-26,,II (Turboprop),"Speed: 491 kmh, 305.09 mph, 265.12 kts "
6539,III,III,1982-01-22,,III (Jet),"Speed: 912.37 kmh, 566.92 mph, 492.64 kts "
6540,45,45,1998-11-23,,,"Speed: 849.91 kmh, 528.11 mph, 458.91 kts "
6541,750 Citation X,,2000-04-06,,,"Speed: 1104.66 kmh, 686.4 mph, 596.47 kts "
6542,35A,35A,1983-02-16,,,"Speed: 814.44 kmh, 506.07 mph, 439.76 kts "
6543,IV,IV,1992-03-05,,,"Speed: 764.67 kmh, 475.14 mph, 412.89 kts "
6544,747SP,,1977-10-29,,,"Speed: 898.26 kmh, 558.15 mph, 485.02 kts "
6545,750 Citation X,,2000-04-06,,,"Speed: 1115.51 kmh, 693.15 mph, 602.33 kts "
6546,252TSE,,1999-06-10,,,"Speed: 347.71 kmh, 216.06 mph, 187.75 kts "
6547,M20K,M20K,1980-01-07,,,"Speed: 486.2 kmh, 302.11 mph, 262.53 kts"
6548,PA-46-310P,PA-46-310P,1992-05-04,,,"Speed: 376.85 kmh, 234.16 mph, 203.48 kts "
6549,Aerostar 602P,,1988-05-18,,,"Speed: 418.27 kmh, 259.9 mph, 225.85 kts "
6550,Bonanza F33A,,1984-03-01,,,"Speed: 203.72 kmh, 126.59 mph, 110 kts "
6551,Bonanza F33A,,1984-03-01,,,"Speed: 162.98 kmh, 101.27 mph, 88 kts "
6552,PA-46-310P,PA-46-310P,1991-01-27,,,"Speed: 417.64 kmh, 259.51 mph, 225.51 kts "
6553,Bonanza A36,,1989-05-30,,,"Speed: 277.56 kmh, 172.47 mph, 149.87 kts "
6554,Bonanza S35,,1989-05-30,,,"Speed: 277.56 kmh, 172.47 mph, 149.87 kts "
6555,Bonanza A36,,1989-05-30,,,"Speed: 262.08 kmh, 162.85 mph, 141.51 kts "
6556,Bonanza S35,,1989-05-30,,,"Speed: 262.08 kmh, 162.85 mph, 141.51 kts "
6557,Bonanza A36,,1989-05-30,,,"Speed: 266.76 kmh, 165.76 mph, 144.04 kts "
6558,Bonanza S35,,1989-05-30,,,"Speed: 266.76 kmh, 165.76 mph, 144.04 kts "
6559,Bonanza A36,,1989-05-30,,,"Speed: 282.6 kmh, 175.6 mph, 152.59 kts "
6560,Bonanza S35,,1989-05-30,,,"Speed: 282.6 kmh, 175.6 mph, 152.59 kts "
6561,Bonanza ,,1986-07-04,,,"Speed: 247.32 kmh, 153.68 mph, 133.54 kts "
6562,Concorde,,1992-10-12,,,"Speed: 1404.43 kmh, 872.67 mph, 758.33 kts "
6563,Concorde,,1992-10-13,,,"Speed: 1194.65 kmh, 742.32 mph, 645.06 kts "
6564,Concorde,,1992-10-13,,,"Speed: 1259.07 kmh, 782.35 mph, 679.84 kts "
6565,208 Caravan,,1996-05-03,,,"Speed: 240.8 kmh, 149.63 mph, 130.02 kts "
6566,Falcon 900EX,,1998-06-03,,,"Speed: 694.31 kmh, 431.42 mph, 374.9 kts "
6567,RV-6,RV-6,1998-11-14,,,"Speed: 235.59 kmh, 146.39 mph, 127.21 kts "
6568,208 Caravan,,1996-04-08,,,"Speed: 250.72 kmh, 155.79 mph, 135.38 kts "
6569,RV-6,RV-6,1998-11-14,,,"Speed: 213.76 kmh, 132.82 mph, 115.42 kts "
6570,G550,G50,2003-09-29,,,"Speed: 901.4 kmh, 560.1 mph, 486.72 kts "
6571,G550,G50,2003-12-06,,,"Speed: 883.84 kmh, 549.19 mph, 477.24 kts "
6572,1126 Galaxy,,2002-03-31,,,"Speed: 829.78 kmh, 515.6 mph, 448.05 kts "
6573,IV,IV,1987-06-11,,,"Speed: 838.8 kmh, 521.21 mph, 452.92 kts "
6574,747SP,,1988-01-29,,,"Speed: 1083.75 kmh, 673.41 mph, 585.18 kts "
6575,767-200ER,767-200ER,1990-05-22,,,"Speed: 794.65 kmh, 493.77 mph, 429.08 kts "
6576,747SP,,1988-01-29,,,"Speed: 1059.56 kmh, 658.38 mph, 572.12 kts "
6577,PA-60-602P Aerostar,,1990-05-25,,,"Speed: 453.41 kmh, 281.74 mph, 244.82 kts "
6578,747SP,,1988-01-29,,,"Speed: 1058.76 kmh, 657.88 mph, 571.68 kts "
6579,B-52H Stratofortress,,1962-01-11,,,"Speed: 889.16 kmh, 552.5 mph, 480.11 kts "
6580,767-200ER,767-200ER,1990-07-09,,,"Speed: 851.06 kmh, 528.82 mph, 459.54 kts "
6581,777-200,777-200,1995-09-07,,,"Speed: 876.16 kmh, 544.42 mph, 473.09 kts "
6582,PA-60-602P Aerostar,,1995-03-23,,,"Speed: 429.33 kmh, 266.77 mph, 231.82 kts "
6583,PA-60-602P Aerostar,,1989-05-21,,,"Speed: 431.28 kmh, 267.98 mph, 232.87 kts "
6584,747SP,,1988-01-29,,,"Speed: 1109.15 kmh, 689.19 mph, 598.89 kts "
6585,757-236,757-236,1986-05-16,,,"Speed: 844.96 kmh, 525.03 mph, 456.24 kts "
6586,PA-60-602P Aerostar,,1990-09-25,,,"Speed: 379.05 kmh, 235.53 mph, 204.67 kts "
6587,737-200,737-200,1984-12-13,,,"Speed: 1028.12 kmh, 638.84 mph, 555.14 kts "
6588,747SP,,1988-01-29,,,"Speed: 1106.24 kmh, 687.39 mph, 597.32 kts "
6589,747-200ER,767-200ER,1990-07-09,,,"Speed: 835.29 kmh, 519.03 mph, 451.02 kts "
6590,1125 Astra SPX,,2001-09-03,,,"Speed: 878.26 kmh, 545.73 mph, 474.22 kts "
6591,DC-8,DC-8,1973-06-25,,,"Speed: 899.25 kmh, 558.77 mph, 485.56 kts "
6592,PA-60-602P Aerostar,,1990-07-28,,,"Speed: 388.2 kmh, 241.22 mph, 209.61 kts "
6593,777-200,777-200,1995-06-11,,,"Speed: 890.8 kmh, 553.52 mph, 480.99 kts "
6594,PA-60-602P Aerostar,,1992-05-24,,,"Speed: 408.02 kmh, 253.53 mph, 220.31 kts "
6595,777-200,777-200,1997-05-07,,,"Speed: 792.5 kmh, 492.44 mph, 427.92 kts "
6596,750,750,1997-05-05,,III (Jet),"Speed: 1033.22 kmh, 642.01 mph, 557.89 kts "
6597,Aerostar 700PC,,1988-05-18,,I (Internal Combustion),"Speed: 405 kmh, 251.66 mph, 218.68 kts "
6598,G550,G50,2003-10-03,,,"Speed: 836.87 kmh, 520.01 mph, 451.87 kts "
6599,Baron,,1988-12-20,,I (Internal Combustion),"Speed: 470.52 kmh, 292.37 mph, 254.06 kts "
6600,208 Caravan,,1996-04-08,,II (Turboprop),"Speed: 291.82 kmh, 181.33 mph, 157.57 kts "
6601,421B,421B,1997-09-15,,,"Speed: 406.68 kmh, 252.7 mph, 219.59 kts "
6602,750 Citation X,,1995-06-15,,,"Speed: 838.65 kmh, 521.11 mph, 452.83 kts "
6603,Concorde,,1993-01-01,,,"Speed: 1757.42 kmh, 1092.01 mph, 948.93 kts "
6604,Jetstar,,1962-04-22,,,"Speed: 685.96 kmh, 426.24 mph, 370.39 kts "
6605,310,310,1992-07-12,,,"Speed: 384.69 kmh, 239.04 mph, 207.72 kts "
6606,IV,IV,1988-02-27,,,"Speed: 836.28 kmh, 519.64 mph, 451.56 kts "
6607,Jetstar,,1962-04-22,,,"Speed: 767.07 kmh, 476.64 mph, 414.18 kts "
6608,Concorde,,1985-09-16,,,"Speed: 1643.67 kmh, 1021.33 mph, 887.51 kts "
6609,Jetstar,,1962-04-22,,,"Speed: 765.91 kmh, 475.91 mph, 413.56 kts "
