ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
T5317A,0,,,
T5317B,0,,,
TPE331-14A,0,,,
TPE331-14B,0,,,
TPE331-14F,0,,,
TPE331-14GR,0,,,
TPE331-14HR,0,,,
TPE331-15AW,0,,,
ALF502L,7500,,,
ALF502L-2,7500,,,
ALF502L-2A,7500,,,
ALF502L-2C,7500,,,
ALF502L-3,7500,,,
ALF502R-3,6700,,,
ALF502R-3A,6970,,,
ALF502R-4,6970,,,
ALF502R-5,6970,,,
ALF502R-6,7500,,,
ALF507-1H,7000,,,
ALF507-1F,7000,,,
TFE731-5BR-C1,4750,,,
LTS101-750B-1,0,,,
501 SER,0,,,
V1710 SERIES,0,,,
250 SER 250HP,0,,,
501-D13 SER,0,,,
501-D22,0,,,
501-D22A,0,,,
J33-A SERIES,0,,,
J35-A SERIES,0,,,
T-56-A-7 SER,0,,,
250 SER 317HP,0,,,
250 SER 400HP,0,,,
250 SERIES,0,,,
250-C30 SER,0,,,
250-B17 SER,0,,,
250 SER,0,,,
250-C20 SER,0,,,
250-C28 SER,0,,,
T56-A-15 SER,0,,,
A225-C10A,0,,,
T56A11 SER,0,,,
T-56A-9,0,,,
AE2100SER,0,,,
AE3007C SER,6442,,,
250-C47,0,,,
AE 3007A,7580,,,
T63 SERIES,0,,,
T-56-A-10W,0,,,
T56-A-16,0,,,
250-C10D,0,,,
AE 3007A1/3,7580,,,
T56-10 SER,0,,,
V1710 SER,0,,,
AE 1107C,0,,,
AE 2100A,0,,,
AE 2100C,0,,,
AE 2100D2,0,,,
AE 2100D3,0,,,
AE 2100J,0,,,
AE 3007C,6442,,,
AE 3007A1/1,7580,,,
AE 3007A1/2,7580,,,
AE 3007A1,7580,,,
AE 3007A1P,8338,,,
AE 3007A3,7201,,,
AE 3007C1,6764,,,
AE 3007A1E,8917,,,
501-D13,0,,,
501-D13A,0,,,
501-D13D,0,,,
501-D13E,0,,,
501-D13H,0,,,
501-D22C,0,,,
502-D22G,0,,,
250-B15A,0,,,
250-B15E,0,,,
250-B15G,0,,,
250-B17,0,,,
250-B17B,0,,,
250-B17C,0,,,
250-B17D,0,,,
250-B17E,0,,,
250-B17F,0,,,
250-B17F/1,0,,,
250-B17F/2,0,,,
250-C10,0,,,
250-C10B,0,,,
250-C18,0,,,
250-C18A,0,,,
250-C19,0,,,
250-C18B,0,,,
250-C18C,0,,,
250-C20,0,,,
250-C20B,0,,,
250-C20C,0,,,
T63-A-720,0,,,
T63-A-5,0,,,
T63-A-5A,0,,,
T63-A-700,0,,,
250-C20F,0,,,
250-C20J,0,,,
250-C20S,0,,,
250-C20R,0,,,
250-C20R/1,0,,,
250-C20R/2,0,,,
250-C20R/4,0,,,
225-C10,0,,,
225-C10A,0,,,
250-C20W,0,,,
250-C30,0,,,
250-C30S,0,,,
250-C30P,0,,,
250-C30M,0,,,
250-C30R,0,,,
T703-AD-700,0,,,
250-C30G,0,,,
250-C30U,0,,,
250-C30G/2,0,,,
250-C30R/1,0,,,
T703-AD-700B,0,,,
250-C40B,0,,,
250-C47B,0,,,
250-C47M,0,,,
250-C30R/3,0,,,
250-C30R/3M,0,,,
250-C28,0,,,
250-C28B,0,,,
250-C28C,0,,,
501-D22G,0,,,
T56-A-14,0,,,
514/SER,0,,,
504/5A,0,,,
504/6A,0,,,
504/7A,0,,,
504/8,0,,,
503/5A,0,,,
503/6A,0,,,
503/7A,0,,,
503/8,0,,,
502/5A,0,,,
502/6A,0,,,
502/7A,0,,,
502/8,0,,,
514/5,0,,,
514/5A,0,,,
514/6,0,,,
514/6A,0,,,
514/8,0,,,
514/8A,0,,,
514/7,0,,,
514/7A,0,,,
531/8,0,,,
531/8B,0,,,
S5-125,0,,,
TRS 18-046,198,,,
TAY 620-15,0,,,
Y,0,,,
W-3,0,,,
4 C02,0,,,
AS10C-3,0,,,
AS10R,0,,,
AS410-A2,0,,,
AS10-P,0,,,
GENET MARK 11,0,,,
V8F,0,,,
621R,0,,,
TDI,0,,,
E4 SERIES,0,,,
IAE 50R-AA,0,,,
E4-A,0,,,
E4-C,0,,,
AE330,0,,,
E4P(SERIES),0,,,
E4(11OR),0,,,
M-137A,0,,,
M337AK,0,,,
M462-RF,0,,,
SR-3-L,0,,,
SR-3-45,0,,,
IO-360-X,0,,,
320 SERIES,0,,,
IO-390-X,0,,,
IO-540-X,0,,,
540 SERIES,0,,,
ROTAX (ALL),0,,,
ROTAX 912 F2,0,,,
ROTAX 912 F3,0,,,
ROTAX 912 F4,0,,,
ROTAX 912 S2,0,,,
ROTAX 912 S3,0,,,
ROTAX 912 S4,0,,,
ROTAX 914 F2,0,,,
ROTAX 914 F3,0,,,
ROTAX 914 F4,0,,,
R1200 SERIES,0,,,
801D,0,,,
BR700-710C411,15385,,,
BR700-710A220,14750,,,
BR700-710A110,14750,,,
BR700-715C130,21430,,,
BR700-715B130,20160,,,
BR700-715A130,18710,,,
BR 700 SERIES,14970,,,
EXPERIMENTAL,0,,,
HERCULES,0,,,
ORPHEUS 637,0,,,
CNTURUSMK18,0,,,
PROTEUS 756,0,,,
PROTEUS 766,0,,,
GIPSY,0,,,
SPA 6A,0,,,
AVON 522,10500,,,
AVON 524B,10250,,,
AVON 525B,10250,,,
AVON 526,10500,,,
AVON 527,11400,,,
AVON 531,12200,,,
AVON 532R-B,12080,,,
AVON 533R,12600,,,
AVON 533R-11A,13000,,,
H.1000 MK.510,0,,,
H.1000 MK.511,0,,,
H.1200 MK.610,0,,,
H.1200 MKS640,0,,,
H.1200 MKS641,0,,,
H.1200MKS640A,0,,,
H.1200MKS641A,0,,,
MARK 521,0,,,
CENTAURUS 18,0,,,
3300,0,,,
GENERATION 6,0,,,
H500A,0,,,
CFM56-5B1,30000,,,
CFM56-5B1/P,30000,,,
CFM56-5B1/2P,30000,,,
CFM56-5B2,31000,,,
CFM56-5B2/P,31000,,,
CFM56-5B2/2P,31000,,,
CFM56-5B3/P,32000,,,
CFM56-5B3/P1,32000,,,
CFM56-5B3/2P,32000,,,
CFM56-5B3/2P1,32000,,,
CFM56-5B4,27000,,,
CFM56-5B4/P,27000,,,
CFM56-5B4/P1,27000,,,
CFM56-5B4/2P,27000,,,
CFM56-5B4/2P1,27000,,,
CFM56-5B5,22000,,,
CFM56-5B5/P,22000,,,
CFM56-5B6,23500,,,
CFM56-5B6/P,23500,,,
CFM56-5B6/2P,23500,,,
CFM56-5B7,27000,,,
CFM56-5B7/P,27000,,,
CFM56-5B8/P,21600,,,
CFM56-5B9/P,23300,,,
CFM56-5B9/2P,23300,,,
CFM56-5C2,31200,,,
CFM56-5C2/4,31200,,,
CFM56-5C2/F,31200,,,
CFM56-5C2/F4,31200,,,
CFM56-5C2/G,31200,,,
CFM56-5C2/G4,31200,,,
CFM56-5C2/P,31200,,,
CFM56-5C3/F,32500,,,
CFM56-5C3/F4,32500,,,
CFM56-5C3/G,32500,,,
CFM56-5C3/G4,32500,,,
CFM56-5C3/P,32500,,,
CFM56-5C4,34000,,,
CFM56-5C4/P,34000,,,
CFM56-5C4/1,34000,,,
CFM56-5C4/1P,34000,,,
CFM56-7B18,19500,,,
CFM56-7B20,20600,,,
CFM56-7B22,22700,,,
CFM56-7B24,24200,,,
CFM56-7B26,26300,,,
CFM56-7B27,27300,,,
CFM56-7B20/2,20600,,,
CFM56-7B22/2,22700,,,
CFM56-7B24/2,24200,,,
CFM56-7B26/2,26300,,,
CFM56-7B27/2,27300,,,
CFM56-7B26/B1,26300,,,
CFM56-7B27/B1,27300,,,
CFM56-7B27/B3,27300,,,
CFM56-7B22/B1,22700,,,
CFM56-7B24/B1,24200,,,
CFM56-7B22/B2,22700,,,
CFM56-7B26/B2,26300,,,
CFM56-2,24000,,,
CFM56-2B,22000,,,
CFM56-2A,24000,,,
CFM56-3,20100,,,
CFM56-3B,22100,,,
CFM56-3C,23515,,,
CFM56-5,25000,,,
CFM56-5-A1/F,25000,,,
CFM56-5A3,26500,,,
CFM56-5A4,22000,,,
CFM56-5A4/F,22000,,,
CFM56-5A5,23500,,,
CFM56-5A5/F,23500,,,
CFV56-7B,20600,,,
CFM56-7B26/3,25900,,,
CFM56-7B24/3,22800,,,
CFS56-5B3,26500,,,
CFM56-7B27A,27300,,,
CFM56-3C1,23515,,,
CFM56-7B27E,27300,,,
