recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
814,747-400,747-400,,1993-04-29,BOEING,5,,,
815,747-400,747-400,,1999-03-15,BOEING,5,,,
816,Concorde,,,1977-11-02,,,,,
817,747-400,747-400,,1995-10-19,BOEING,5,,,
818,747SP,,,1992-08-18,,,,,
819,747-400,747-400,,1997-02-23,BOEING,5,,,
820,A310-300,A310-300,,1988-12-26,AIRBUS INDUSTRIE,5,,,
821,767-300ER,767-300ER,,1994-08-18,BOEING,5,,,
822,737-300,737-300,,2001-10-19,BOEING,5,,,
823,DC-9-31,DC-9-31,,1979-10-17,DOUGLAS,5,,,
824,727-200A,727-200,,1990-07-04,BOEING,5,,,
825,757,77,,1994-06-01,BREECHER RAYMOND/BREECHER CARL,4,,,
826,707,70,,1965-04-29,NORTHWESTERN BALLOON CO,2,0.0,6.0,1.0
827,990,1990,,1963-07-20,RAINS JOHN B,4,,,
828,DC-10-40,DC-10-40,,1993-01-10,DOUGLAS,5,,,
829,707-123B,707-123B,,1962-01-07,BOEING,5,,,
830,757-200,757-200CB,,1993-04-26,BOEING,5,,,
831,DC-9-31,DC-9-31,,1971-03-08,DOUGLAS,5,,,
832,MD-11F,MD-11F,,1998-09-25,MCDONNELL DOUGLAS,5,,,
833,DC-10-30,DC-10-30,,1991-07-06,MCDONNELL-DOUGLAS,5,,,
834,747-100,747-100,,1997-01-05,BOEING,5,,,
835,767-300ER,767-300ER,,1999-09-17,BOEING,5,,,
836,777-200,777-200,,2001-08-05,BOEING,5,,,
837,DC-9-31,DC-9-31,,1978-03-07,DOUGLAS,5,,,
838,DC-9-51,DC-9-51,,1978-04-24,MCDONNELL DOUGLAS,5,,,
839,DC-8-72,DC-8-72,,1983-03-30,DOUGLAS,5,,,
840,Concorde,,,1985-03-29,,,,,
